date,price_used,log_return
2015-01-05,4.731142997741699,-0.0522379115848935
2015-01-06,4.650143146514893,-0.017268818560519757
2015-01-07,4.674285888671875,0.005178396664592713
2015-01-08,4.7779998779296875,0.021945623368420444
2015-01-09,4.704143047332764,-0.015578403499144765
2015-01-12,4.554714202880859,-0.03228083471724252
2015-01-13,4.625570774078369,0.015436988822646682
2015-01-14,4.631999969482422,0.0013889597208056623
2015-01-15,4.625143051147461,-0.0014814332183745325
2015-01-16,4.819142818450928,0.041088773287814476
2015-01-20,4.9828572273254395,0.03340739318553458
2015-01-21,5.846857070922852,0.15990079710080388
2015-01-22,6.120571136474609,0.04575115108523726
2015-01-23,6.249429225921631,0.02083472060220774
2015-01-26,6.379428863525391,0.02058843780045937
2015-01-27,6.488142967224121,0.016897778683113596
2015-01-28,6.320857048034668,-0.02612154437810706
2015-01-29,6.340000152587891,0.0030239846856650724
2015-01-30,6.311429023742676,-0.00451667191408626
2015-02-02,6.301000118255615,-0.0016537508748668429
2015-02-03,6.527429103851318,0.035304790655709246
2015-02-04,6.41014289855957,-0.018131596632273476
2015-02-05,6.413000106811523,0.00044563307108728923
2015-02-06,6.3480000495910645,-0.010187386345955321
2015-02-09,6.329570770263672,-0.002907385424382872
2015-02-10,6.485000133514404,0.024259413304739064
2015-02-11,6.498428821563721,0.002068589566638297
2015-02-12,6.52471399307251,0.004036691845542833
2015-02-13,6.658570766448975,0.020307742121438738
2015-02-17,6.713714122772217,0.008247456489763477
2015-02-18,6.786571025848389,0.01079349207644445
2015-02-19,6.78000020980835,-0.0009686775589356998
2015-02-20,6.8314290046691895,0.007556743496119142
2015-02-23,6.740571022033691,-0.0133892336880601
2015-02-24,6.783999919891357,0.006422243975587433
2015-02-25,6.833285808563232,0.007238755926528239
2015-02-26,6.900428771972656,0.009777907930489644
2015-02-27,6.78442907333374,-0.016953406210500413
2015-03-02,6.860713958740234,0.011181367612760316
2015-03-03,6.781570911407471,-0.011602738978199603
2015-03-04,6.710999965667725,-0.01046080690193172
2015-03-05,6.680714130401611,-0.00452307847699492
2015-03-06,6.487429141998291,-0.029358561386258124
2015-03-09,6.366143226623535,-0.018872498906031487
2015-03-10,6.215143203735352,-0.02400506096298775
2015-03-11,6.288428783416748,0.011722477220951518
2015-03-12,6.404571056365967,0.018300719434728864
2015-03-13,6.262856960296631,-0.02237549854895961
2015-03-16,6.028142929077148,-0.03819747308941066
2015-03-17,5.978857040405273,-0.008209572017525962
2015-03-18,6.0445709228515625,0.010931081715437068
2015-03-19,6.074429035186768,0.004927497788936456
2015-03-20,6.118570804595947,0.007240541759211597
2015-03-23,6.0714287757873535,-0.0077345800572273
2015-03-24,6.261143207550049,0.030768828919053595
2015-03-25,6.025000095367432,-0.03844529424786643
2015-03-26,5.975142955780029,-0.008309472020416087
2015-03-27,5.925285816192627,-0.008379098307338387
2015-03-30,6.03671407699585,0.01863091204532344
2015-03-31,5.952713966369629,-0.014012592558869896
2015-04-01,5.901713848114014,-0.008604452903114629
2015-04-02,5.91542911529541,0.002321250302590272
2015-04-06,6.0329999923706055,0.019680356430501488
2015-04-07,6.049428939819336,0.002719479281202359
2015-04-08,6.304999828338623,0.04137906471543633
2015-04-09,6.278571128845215,-0.004200514852744964
2015-04-10,6.493856906890869,0.03371421143580769
2015-04-13,6.7811431884765625,0.0432890608349044
2015-04-14,6.838714122772217,0.00845402060604767
2015-04-15,6.792285919189453,-0.006812175626774615
2015-04-16,8.02928638458252,0.16730811075204918
2015-04-17,8.164999961853027,0.01676106641047483
2015-04-20,8.105570793151855,-0.007305144224246195
2015-04-21,8.006285667419434,-0.012324635926184884
2015-04-22,6.966856956481934,-0.004936885865020354
2015-04-23,6.986570835113525,0.002471429829805342
2015-04-24,6.977142810821533,-0.0011811819727235275
2015-04-27,8.086856842041016,0.013659828131863108
2015-04-28,8.043713569641113,-0.005349268398612653
2015-04-29,8.040714263916016,-0.00037294528483065945
2015-04-30,6.949999809265137,-0.011346013366033707
2015-05-01,6.957571029663086,0.000951901587780153
2015-05-04,6.927143096923828,-0.003831100731622382
2015-05-05,8.079285621643066,0.01901074993075181
2015-05-06,8.00771427154541,-0.008898094461430743
2015-05-07,8.074856758117676,0.008349769018675568
2015-05-08,8.208571434020996,0.016423775141129745
2015-05-11,8.427857398986816,0.02636367072769299
2015-05-12,8.337714195251465,-0.010753474390782662
2015-05-13,8.287285804748535,-0.0060665918995204664
2015-05-14,8.383570671081543,0.01155140854558213
2015-05-15,8.760713577270508,0.04400344208056318
2015-05-18,8.826713562011719,0.0075053950800669815
2015-05-19,8.806857109069824,-0.0022521203113098466
2015-05-20,8.878999710083008,0.008158270406192256
2015-05-21,8.900285720825195,0.0023944742880917347
2015-05-22,8.883856773376465,-0.0018475956462436396
2015-05-26,8.799285888671875,-0.00956521486320879
2015-05-27,8.985713958740234,0.020965409086029875
2015-05-28,8.950714111328125,-0.0039026601838691322
2015-05-29,8.915143013000488,-0.003982025052916819
2015-06-01,8.900285720825195,-0.0016679133397916996
2015-06-02,8.913000106811523,0.0014275174460764725
2015-06-03,8.880857467651367,-0.0036127831176187685
2015-06-04,8.934857368469238,0.006062071231311849
2015-06-05,9.045999526977539,0.01236243351879942
2015-06-08,8.960429191589355,-0.009504492078206438
2015-06-09,9.244999885559082,0.03126472577374934
2015-06-10,9.587142944335938,0.0363400717492218
2015-06-11,9.509428977966309,-0.008139093832950035
2015-06-12,9.44185733795166,-0.0071311176707263245
2015-06-15,9.343143463134766,-0.010509957866412963
2015-06-16,9.5272855758667,0.019517092860086304
2015-06-17,9.427143096923828,-0.010566755924438976
2015-06-18,9.474286079406738,0.004988308534645694
2015-06-19,9.3871431350708,-0.009240398848069587
2015-06-22,9.64142894744873,0.026728327238700465
2015-06-23,9.73128604888916,0.009276732338747477
2015-06-24,9.694429397583008,-0.0037946294058783447
2015-06-25,9.489143371582031,-0.02140308951546623
2015-06-26,9.308856964111328,-0.019182033434965558
2015-06-29,9.223142623901367,-0.0092504806107537
2015-06-30,9.384857177734375,0.017381623708214413
2015-07-01,9.363571166992188,-0.002270699121742119
2015-07-02,9.40442943572998,0.0043540421966977265
2015-07-06,9.45714282989502,0.005589516151142317
2015-07-07,9.409143447875977,-0.005088387282764874
2015-07-08,9.350713729858398,-0.006229248592232055
2015-07-09,9.572713851928711,0.023464069226359737
2015-07-10,9.722857475280762,0.015562809849535819
2015-07-13,10.10871410369873,0.03891828020137135
2015-07-14,10.037142753601074,-0.007105346942222571
2015-07-15,9.812999725341797,-0.022584478231367926
2015-07-16,11.581000328063965,0.16565784329487804
2015-07-17,11.47700023651123,-0.009020799224075556
2015-07-20,11.055000305175781,-0.03746221139130397
2015-07-21,11.25100040435791,0.01757420761402899
2015-07-22,11.149999618530273,-0.009017585835069194
2015-07-23,11.010000228881836,-0.012635492170466287
