Date,Adj Close,daily_return,Volume
2012-01-04,12.678087,0.005374330458834731,260022000
2012-01-05,12.818838,0.011101911510782436,271269600
2012-01-06,12.952846,0.010453989667394081,318292800
2012-01-09,12.932298,-0.001586369512924013,394024400
2012-01-10,12.978598,0.0035801835064426246,258196400
2012-01-11,12.957443,-0.0016299911592916327,215084800
2012-01-12,12.921871,-0.002745294731375636,212587200
2012-01-13,12.873422,-0.00374937963705102,226021600
2012-01-17,13.023368,0.011647718842744403,242897200
2012-01-18,13.158606,0.010384256975614958,276791200
2012-01-19,13.1169,-0.0031694846703367308,261738400
2012-01-20,12.888442,-0.017417072631490615,413974400
2012-01-23,13.106471,0.01691662964383145,306062400
2012-01-24,12.89182,-0.016377482542783817,547638000
2012-01-25,13.696773,0.062439050498688475,958314000
2012-01-26,13.634521,-0.00454501217184522,323985200
2012-01-27,13.715782,0.005959945347548512,299709200
2012-01-30,13.891494,0.012810935606879736,379341200
2012-01-31,13.997902,0.007659939240516556,391683600
2012-02-01,13.989006,-0.0006355238092108362,270046000
2012-02-02,13.956198,-0.002345270278674483,186796400
2012-02-03,14.096025,0.010018989412445833,286599600
2012-02-06,14.227581,0.009332843833633975,249412800
2012-02-07,14.376616,0.010475076543229545,316223600
2012-02-08,14.617332,0.016743578600137754,407890000
2012-02-09,15.122993,0.03459324861746316,884214800
2012-02-10,15.130663,0.0005071747371701019,631302000
2012-02-13,15.412172,0.018605199256635396,517216000
2012-02-14,15.622525,0.013648498083203231,460398400
2012-02-15,15.260985,-0.0231422257285554,1506120000
2012-02-16,15.400207,0.009122740111467298,944552000
2012-02-17,15.397449,-0.0001790885018623234,535805200
2012-02-21,15.787808,0.025352186586232506,605595200
2012-02-22,15.732299,-0.0035159409083262982,483302400
2012-02-23,15.835034,0.006530196254215692,568027600
2012-02-24,16.019634,0.011657695209242869,415072000
2012-02-27,16.122358,0.006412381206711615,547582000
2012-02-28,16.41828,0.018354759272806165,600387200
2012-02-29,16.633854,0.013130120816553292,952011200
2012-03-01,16.6961,0.003742127350643054,683270000
2012-03-02,16.717876,0.0013042566826984014,431712400
2012-03-05,16.349289,-0.022047477801605986,809124400
2012-03-06,16.260355,-0.005439624928031961,810238800
2012-03-07,16.273544,0.0008111139024948866,798520800
2012-03-08,16.620056,0.021292964826838068,516457200
2012-03-09,16.717567,0.0058670680772674455,418919200
2012-03-12,16.927011,0.012528378082767855,407282400
2012-03-13,16.420712,0.029166460635017044,690855200
2012-03-14,18.079393,0.037810222682057804,1418844000
2012-03-15,16.956123,-0.006818259882950595,1159718000
2012-03-16,16.956423,1.6707392793025022e-05,825487600
2012-03-19,18.432653,0.0265214291287299,901236000
2012-03-20,18.581686,0.008085271284605788,816662000
2012-03-21,18.475584,-0.0057100308335852334,644042000
2012-03-22,18.378685,-0.005244705661266225,623870800
2012-03-23,18.277798,-0.005489348122566962,430488800
2012-03-26,18.612963,0.018337274544778293,595742000
2012-03-27,18.842957,0.012356657024461759,607129600
2012-03-28,18.939234,0.005109442217588356,655460400
2012-03-29,18.701273,-0.012564446904241189,608238400
2012-03-30,18.385124,-0.016905212816261228,731038000
2012-04-02,18.970211,0.03182393548175133,598351600
2012-04-03,19.298018,0.017280092456536167,834559600
2012-04-04,19.144384,-0.007961128443345844,572980800
2012-04-05,19.431715,0.015008631251859583,641298000
2012-04-09,19.509912,0.004024194467652453,597536800
2012-04-10,19.27103,-0.01224413518625811,889725200
2012-04-11,19.202341,-0.0035643657863642098,696614800
2012-04-12,19.09716,-0.0054775092266095005,614336800
2012-04-13,18.559299,-0.0281644495830794,859644800
2012-04-16,16.789612,-0.04147177110514777,1050786800
2012-04-17,18.696373,0.050971375879361513,1025528000
2012-04-18,18.654667,-0.0022307000400559884,954531200
2012-04-19,18.013769,-0.034355906755130006,834719200
2012-04-20,16.570358,-0.02461511524878557,1030985200
2012-04-23,16.531107,-0.00223393285441309,966529200
2012-04-24,16.180918,-0.019975293060500943,1076149200
2012-04-25,18.705572,0.08874112547420343,905777600
2012-04-26,18.635042,-0.003770534255782221,536068400
2012-04-27,18.490911,-0.007734407038095137,406722400
2012-04-30,16.907673,-0.03154187481622739,506144800
2012-05-01,16.850941,-0.003168027470682566,610999200
2012-05-02,16.969002,0.0066137129689689544,427389200
2012-05-03,16.841434,-0.007099336958168334,390549600
2012-05-04,16.333323,-0.02847926909910936,529992400
2012-05-07,16.463026,0.007482869845556905,460118400
2012-05-08,16.423168,-0.002282422301839282,497252000
2012-05-09,16.453831,0.001759898085124334,480704000
2012-05-10,16.494923,0.0023543255346061276,333200000
2012-05-11,16.378096,-0.006677765886708986,399546000
2012-05-14,16.117746,-0.014981503152013853,352626400
2012-05-15,16.962885,-0.009046810251770343,476336000
2012-05-16,16.745472,-0.012816982488533135,560896000
2012-05-17,16.256065,-0.02922622903672112,717220000
2012-05-18,16.264042,0.0004907091599350988,732292400
2012-05-21,16.211576,0.058259441287719316,631106000
2012-05-22,16.079412,-0.007678785487162831,694870400
2012-05-23,16.496155,0.024400313078693836,584897600
2012-05-24,16.335464,-0.009184360792414137,496230000
2012-05-25,16.242552,-0.005359648867777733,328507200
2012-05-29,16.548584,0.017748648807902834,380508800
2012-05-30,16.760172,0.01205726912211258,529429600
2012-05-31,16.716015,-0.0024862934885991894,491674400
2012-06-01,16.202684,-0.02897553428352806,520987600
2012-06-04,16.303873,0.0058821635042529685,556995600
2012-06-05,16.259104,-0.0025872242589851657,388214400
2012-06-06,16.523746,0.01533347269939389,401455600
2012-06-07,16.531723,0.00045521088926991915,379766800
2012-06-08,16.795439,0.015042218040976385,347516400
2012-06-11,16.514858,-0.015767017604904177,591264800
2012-06-12,16.667871,0.008736182731255981,435380400
2012-06-13,16.54521,-0.0069426021958164386,293580000
2012-06-14,16.525888,-0.0011012692353070674,345573200
2012-06-15,16.605618,0.004549270199604161,335255200
2012-06-18,16.962866,0.020291704613834227,440412000
2012-06-19,18.012861,0.0027832418278908033,361404400
2012-06-20,16.961645,-0.002843301794201336,358943200
2012-06-21,16.71417,-0.013777969668145706,326351200
2012-06-22,16.850023,0.007669171064746516,284471600
2012-06-25,16.50259,-0.019464008533770394,304382400
2012-06-26,16.541231,0.00220773039875799,276536400
2012-06-27,16.616968,0.004317655927340569,202997200
2012-06-28,16.449846,-0.009486422408214623,282836400
2012-06-29,16.908291,0.026272151628157436,421500800
2012-07-02,18.169552,0.014588829274663873,400092000
2012-07-03,18.380831,0.011628189841994985,241712800
2012-07-05,18.703726,0.017566942430404797,484383200
2012-07-06,18.579237,-0.006655839590464563,418930400
2012-07-09,18.824858,0.013220187675091255,379405600
2012-07-10,18.650682,-0.009252446950728577,511957600
2012-07-11,18.534765,-0.006215161461655905,469322000
2012-07-12,18.365192,-0.009148915564885729,428041600
2012-07-13,18.551332,0.010135478028217682,311427200
2012-07-16,18.610813,0.0032062926802238767,301260400
2012-07-17,18.61174,4.9809753072116436e-05,293624800
2012-07-18,18.590885,-0.0011205293003233585,252700000
2012-07-19,18.838039,0.013294364415679993,436861600
2012-07-20,18.530783,-0.016310402584897465,397471200
2012-07-23,18.516369,-0.0007778408500060952,487975600
2012-07-24,18.427135,-0.004819195383285013,565132400
2012-07-25,16.631386,-0.04318354426773352,877312800
2012-07-26,16.62862,-0.00015687932871510935,406632800
2012-07-27,16.943853,0.01788188752154163,403936400
2012-07-30,18.246511,0.01686694602324268,379142400
2012-07-31,18.728872,0.026435793670362306,462327600
2012-08-01,18.607748,-0.006467234118530896,384501600
2012-08-02,18.637794,0.001614703724491573,332158400
2012-08-03,18.880362,0.013014844997213837,344920800
2012-08-06,19.09041,0.011125210417045839,302103200
2012-08-07,19.040127,-0.0026339402872961326,290446800
2012-08-08,19.007929,-0.001691060148915846,244706000
2012-08-09,19.116333,0.0057030936931634635,221642400
2012-08-10,19.146202,0.001562485859604834,194938800
2012-08-13,19.401812,0.013350428455732422,278832400
2012-08-14,19.453857,0.0026824814094683624,340169200
2012-08-15,19.427374,-0.001361323875260223,257342400
2012-08-16,19.597065,0.008734633924276203,254534000
2012-08-17,19.959536,0.01849618807714304,442761200
2012-08-20,20.484312,0.02629199396218418,613384800
2012-08-21,20.204376,-0.01366587269321029,812719600
2012-08-22,20.598877,0.019525522589759925,565322800
2012-08-23,20.406708,-0.009329100804864376,420128800
2012-08-24,20.424873,0.0008901484747076971,437340400
2012-08-27,20.808598,0.018787142519808953,427008400
2012-08-28,20.781494,-0.0013025384987495059,267416800
2012-08-29,20.740538,-0.0019707918978297823,202806800
2012-08-30,20.444897,-0.014254258978238621,302699600
2012-08-31,20.487089,0.002063693448785875,338321200
2012-09-04,20.786736,0.014626138442606518,367892000
2012-09-05,20.64076,-0.007022555152478072,336375200
2012-09-06,20.826769,0.00901173212614248,391196400
2012-09-07,20.955191,0.006166198895277475,329666400
2012-09-10,20.410093,-0.02601255221200316,487998000
2012-09-11,20.343882,-0.0032440322540421285,503983200
2012-09-12,20.627203,0.01392659473742519,712233200
2012-09-13,21.033413,0.019692926859739446,598360000
2012-09-14,21.289021,0.012152473780646211,600474000
2012-09-17,21.550797,0.012296291125834191,398031200
2012-09-18,21.616388,0.0030435533312296315,373503200
2012-09-19,21.62224,0.0002707205292578063,326874800
2012-09-20,21.517538,-0.0048423290093905225,336568400
2012-09-21,21.560337,0.0019890286704735693,571589200
2012-09-24,21.273937,-0.01328365136407661,639766400
2012-09-25,20.742699,-0.024971306439423913,518789600
2012-09-26,20.485233,-0.012412367358751175,576503200
2012-09-27,20.982292,0.024264259039670222,594090000
2012-09-28,20.544371,-0.020870980157935093,535110800
2012-10-01,20.306925,-0.011557715736344565,543594800
2012-10-02,20.366053,0.0029117160771510164,627992400
2012-10-03,20.678329,0.015333162493488484,424281200
2012-10-04,20.535124,-0.006925366164741931,370725600
2012-10-05,20.097509,-0.021310560384247057,594006000
2012-10-08,19.653427,-0.02209637025165645,637994000
2012-10-09,19.58198,-0.00363534563208745,838597200
2012-10-10,19.737801,0.00795736692612281,510356000
2012-10-11,19.3433,-0.019987079614390724,546081200
2012-10-12,19.392881,0.0025632131022110816,460014800
2012-10-15,19.548409,0.008019850170791987,432502000
2012-10-16,20.011276,0.02367798832119794,549771600
2012-10-17,19.851749,-0.007971855467887035,389037600
2012-10-18,19.483116,-0.018569295833833266,476624400
2012-10-19,18.780962,-0.03603910175353886,744086000
2012-10-22,19.525927,0.03966596599258332,546730800
2012-10-23,18.88936,-0.03260111542975652,707145600
2012-10-24,18.996223,0.0056573118411635814,558527200
2012-10-25,18.771723,-0.011818138795275157,656325600
2012-10-26,18.601101,-0.009089309489597852,1018432800
2012-10-31,18.333792,-0.014370600966039593,510003200
2012-11-01,18.371365,0.0020493850917475687,361298000
2012-11-02,16.763439,-0.03309095431939868,599373600
2012-11-05,18.004265,0.013557397303528784,529135600
2012-11-06,16.94976,-0.003027338244577016,374917200
2012-11-07,16.262951,-0.038262851425311495,793648800
2012-11-08,16.636477,-0.03629008736687034,1056146000
2012-11-09,16.924501,0.017312800059772204,929913600
2012-11-12,16.793631,-0.0077325765764082455,515802000
2012-11-13,16.795803,0.00012933474601162231,532949200
2012-11-14,16.609558,-0.011088782120152296,477170400
2012-11-15,16.261211,-0.02097268331884572,789910800
2012-11-16,16.324942,0.003919203803456117,1266893600
2012-11-19,16.502096,0.07210769875935874,823317600
2012-11-20,16.352976,-0.008520122389912621,642754000
2012-11-21,16.377422,0.0014087497153225659,373002000
2012-11-23,16.680607,0.017447064357417386,272826400
2012-11-26,18.238405,0.0315485774894495,630579600
2012-11-27,18.09145,-0.008057448006007162,533330000
2012-11-28,18.034533,-0.0031460717631808244,520864400
2012-11-29,18.233143,0.01101276090708847,514698800
2012-11-30,18.106918,-0.0069228327776510445,391319600
2012-12-03,18.135075,0.0015550410069786746,364280000
2012-12-04,16.815178,-0.017639684423692792,557068400
2012-12-05,16.668652,-0.06435669629570906,1044638000
2012-12-06,16.930067,0.01568303183724762,1177212400
2012-12-07,16.497257,-0.02556457691514158,787040800
2012-12-10,16.391146,-0.0064320389747217765,630484400
2012-12-11,16.749088,0.021837521305709817,592345600
2012-12-12,16.675148,-0.0044145687215925156,487144000
2012-12-13,16.387117,-0.017273070080097597,625259600
2012-12-14,15.771469,-0.03756902449649935,1009579200
2012-12-17,16.051138,0.0177325904137402,757607200
2012-12-18,16.51737,0.029046663233472714,625685200
2012-12-19,16.282557,-0.014216125206373609,449369200
2012-12-20,16.140862,-0.008702257268314972,481689600
2012-12-21,16.06661,-0.004600249974257786,596268400
2012-12-24,16.092596,0.001617391596609341,175753200
2012-12-26,15.870777,-0.013783916529067186,302436400
2012-12-27,15.934513,0.004015934443537317,455120400
2012-12-28,15.765286,-0.0106201551311923,354278400
2012-12-31,16.463842,0.044309757526758364,659492400
2013-01-02,16.985447,0.03168185166014115,560518000
2013-01-03,16.771049,-0.012622452620764113,352965200
2013-01-04,16.303898,-0.027854608259745728,594333600
2013-01-07,16.207994,-0.005882274288026124,484156400
2013-01-08,16.251616,0.0026913879657162187,458707200
2013-01-09,15.997625,-0.015628661174371783,407604400
2013-01-10,16.19593,0.01239590251677991,601146000
2013-01-11,16.096617,-0.006131972662267726,350506800
2013-01-14,15.522738,-0.035652149765382224,734207600
2013-01-15,15.033,-0.03154971758204006,876772400
2013-01-16,15.657004,0.04150894698330343,690804800
2013-01-17,15.551506,-0.006738070706247545,453678400
2013-01-18,15.468602,-0.005330930650703447,472922800
2013-01-22,15.616171,0.009539905416145578,461546400
2013-01-23,15.902027,0.01830512742208068,861509600
2013-01-24,13.937205,-0.12355795899478728,1460852400
